MA200VS200data.csv,0-3000000,0-25,25-50,341,23,13
MA200VS200data.csv,0-3000000,0-25,50-75,341,83,69
MA200VS200data.csv,3000000-8000000,0-25,50-75,341,5,4
MA200VS200data.csv,8000000-12000000,0-25,50-75,341,1,0
MA200VS200data.csv,0-3000000,0-25,75-100,341,11,9
MA200VS200data.csv,0-3000000,25-50,25-50,341,5,3
MA200VS200data.csv,3000000-8000000,25-50,25-50,341,1,0
MA200VS200data.csv,0-3000000,25-50,50-75,341,118,89
MA200VS200data.csv,3000000-8000000,25-50,50-75,341,8,5
MA200VS200data.csv,8000000-12000000,25-50,50-75,341,6,3
MA200VS200data.csv,14000000-80000000,25-50,50-75,341,3,1
MA200VS200data.csv,0-3000000,25-50,75-100,341,40,36
MA200VS200data.csv,3000000-8000000,25-50,75-100,341,4,4
MA200VS200data.csv,8000000-12000000,25-50,75-100,341,1,1
MA200VS200data.csv,14000000-80000000,25-50,75-100,341,4,4
MA200VS200data.csv,0-3000000,50-75,50-75,341,10,6
MA200VS200data.csv,3000000-8000000,50-75,50-75,341,1,0
MA200VS200data.csv,14000000-80000000,50-75,50-75,341,1,1
MA200VS200data.csv,0-3000000,50-75,75-100,341,8,8
MA200VS200data.csv,14000000-80000000,50-75,75-100,341,1,0
MA200VS200data.csv,0-3000000,75-100,50-75,341,1,0
