2022-05-31 00:00:00,ASHOKLEY,"date
2022-06-30    1.074909
Freq: M, Name: ASHOKLEY, dtype: float64"
2022-05-31 00:00:00,ASTRAZEN,"date
2022-06-30    0.89947
Freq: M, Name: ASTRAZEN, dtype: float64"
2022-05-31 00:00:00,BLISSGVS,"date
2022-06-30    0.895577
Freq: M, Name: BLISSGVS, dtype: float64"
2022-05-31 00:00:00,BOMDYEING,"date
2022-06-30    0.913917
Freq: M, Name: BOMDYEING, dtype: float64"
2022-05-31 00:00:00,ACC,"date
2022-06-30    0.965225
Freq: M, Name: ACC, dtype: float64"
2022-06-30 00:00:00,ASHOKLEY,"date
2022-07-31    1.008119
Freq: M, Name: ASHOKLEY, dtype: float64"
2022-06-30 00:00:00,COROMANDEL,"date
2022-07-31    1.079316
Freq: M, Name: COROMANDEL, dtype: float64"
2022-06-30 00:00:00,DICIND,"date
2022-07-31    1.002229
Freq: M, Name: DICIND, dtype: float64"
2022-06-30 00:00:00,BRITANNIA,"date
2022-07-31    1.125202
Freq: M, Name: BRITANNIA, dtype: float64"
2022-06-30 00:00:00,ASTRAZEN,"date
2022-07-31    1.132911
Freq: M, Name: ASTRAZEN, dtype: float64"
2022-06-30 00:00:00,ABBOTINDIA,"date
2022-07-31    1.06688
Freq: M, Name: ABBOTINDIA, dtype: float64"
2022-06-30 00:00:00,ANDHRAPAP,"date
2022-07-31    1.131305
Freq: M, Name: ANDHRAPAP, dtype: float64"
2022-06-30 00:00:00,BORORENEW,"date
2022-07-31    1.026758
Freq: M, Name: BORORENEW, dtype: float64"
2022-06-30 00:00:00,SKFINDIA,"date
2022-07-31    1.165251
Freq: M, Name: SKFINDIA, dtype: float64"
2022-06-30 00:00:00,AEGISCHEM,"date
2022-07-31    1.238517
Freq: M, Name: AEGISCHEM, dtype: float64"
2022-07-31 00:00:00,SKFINDIA,"date
2022-08-31    1.145248
Freq: M, Name: SKFINDIA, dtype: float64"
2022-07-31 00:00:00,ITDCEM,"date
2022-08-31    1.305709
Freq: M, Name: ITDCEM, dtype: float64"
2022-07-31 00:00:00,BRITANNIA,"date
2022-08-31    0.960863
Freq: M, Name: BRITANNIA, dtype: float64"
2022-07-31 00:00:00,ASHOKLEY,"date
2022-08-31    1.033557
Freq: M, Name: ASHOKLEY, dtype: float64"
2022-07-31 00:00:00,ABBOTINDIA,"date
2022-08-31    0.936281
Freq: M, Name: ABBOTINDIA, dtype: float64"
2022-07-31 00:00:00,AEGISCHEM,"date
2022-08-31    1.136179
Freq: M, Name: AEGISCHEM, dtype: float64"
2022-07-31 00:00:00,COROMANDEL,"date
2022-08-31    1.02367
Freq: M, Name: COROMANDEL, dtype: float64"
2022-07-31 00:00:00,BAYERCROP,"date
2022-08-31    1.031081
Freq: M, Name: BAYERCROP, dtype: float64"
2022-07-31 00:00:00,CGPOWER,"date
2022-08-31    1.003123
Freq: M, Name: CGPOWER, dtype: float64"
2022-07-31 00:00:00,CEATLTD,"date
2022-08-31    1.10309
Freq: M, Name: CEATLTD, dtype: float64"
2022-08-31 00:00:00,ITDCEM,"date
2022-09-30    1.070052
Freq: M, Name: ITDCEM, dtype: float64"
2022-08-31 00:00:00,ANDHRAPAP,"date
2022-09-30    0.899654
Freq: M, Name: ANDHRAPAP, dtype: float64"
2022-08-31 00:00:00,RELINFRA,"date
2022-09-30    0.843827
Freq: M, Name: RELINFRA, dtype: float64"
