PDCB2data.csv,0-3000000,0-25,25-50,1661,21,8
PDCB2data.csv,0-3000000,0-25,50-75,1661,540,293
PDCB2data.csv,3000000-8000000,0-25,50-75,1661,2,1
PDCB2data.csv,0-3000000,0-25,75-100,1661,15,9
PDCB2data.csv,0-3000000,25-50,25-50,1661,24,12
PDCB2data.csv,0-3000000,25-50,50-75,1661,424,202
PDCB2data.csv,3000000-8000000,25-50,50-75,1661,3,2
PDCB2data.csv,0-3000000,25-50,75-100,1661,139,70
PDCB2data.csv,3000000-8000000,25-50,75-100,1661,2,2
PDCB2data.csv,8000000-12000000,25-50,75-100,1661,1,0
PDCB2data.csv,0-3000000,50-75,50-75,1661,26,12
PDCB2data.csv,0-3000000,50-75,75-100,1661,56,22
PDCB2data.csv,3000000-8000000,50-75,75-100,1661,3,2
PDCB2data.csv,8000000-12000000,50-75,75-100,1661,2,1
