Dec 14 2022 05:30AM,Persistent Systems Ltd,PERSISTENT,0-3000000,25-50,50-75
Dec 14 2022 05:30AM,MPS Ltd,MPSLTD,0-3000000,50-75,75-100
Dec 14 2022 05:30AM,Shoppers Stop Ltd,SHOPERSTOP,0-3000000,0-25,50-75
Dec 14 2022 05:30AM,Dish TV India Ltd,DISHTV,14000000-80000000,25-50,50-75
Dec 14 2022 05:30AM,Dynacons Systems &amp; Solutions Ltd,DSSL,0-3000000,25-50,50-75
Dec 14 2022 05:30AM,Steel Exchange India Ltd,STEELXIND,3000000-8000000,25-50,75-100
Dec 14 2022 05:30AM,Balaji Telefilms Ltd,BALAJITELE,0-3000000,0-25,50-75
Dec 14 2022 05:30AM,Next Mediaworks Ltd,NEXTMEDIA,0-3000000,25-50,50-75
Dec 14 2022 05:30AM,Compuage Infocom Ltd,COMPINFO,0-3000000,25-50,50-75
Dec 14 2022 05:30AM,Shivalik Rasayan Ltd,SHIVALIK,0-3000000,0-25,25-50
Dec 14 2022 05:30AM,PPAP Automotive Ltd,PPAP,0-3000000,25-50,75-100
Dec 14 2022 05:30AM,Deep Energy Resources Ltd,DEEPENR,0-3000000,0-25,25-50
Dec 14 2022 05:30AM,SecureKloud Technologies Ltd,SECURKLOUD,0-3000000,25-50,50-75
Dec 14 2022 05:30AM,Ramkrishna Forgings Ltd,RKFORGE,0-3000000,25-50,50-75
Dec 14 2022 05:30AM,S.A.L Steel Ltd,SALSTEEL,0-3000000,0-25,50-75
Dec 14 2022 05:30AM,Multi Commodity Exchange of India Ltd,MCX,0-3000000,25-50,75-100
Dec 14 2022 05:30AM,Globus Spirits Ltd,GLOBUSSPR,0-3000000,25-50,75-100
Dec 14 2022 05:30AM,Polycab India Ltd,POLYCAB,0-3000000,25-50,75-100
Dec 14 2022 05:30AM,Allcargo Logistics Ltd,ALLCARGO,0-3000000,25-50,50-75
Dec 14 2022 05:30AM,TV18 Broadcast Ltd,TV18BRDCST,14000000-80000000,25-50,50-75
Dec 14 2022 05:30AM,Network 18 Media &amp; Investments Ltd,NETWORK18,3000000-8000000,25-50,50-75
Dec 14 2022 05:30AM,IRB Infrastructure Developers Ltd,IRB,8000000-12000000,50-75,75-100
Dec 14 2022 05:30AM,Rane Brake Lining Ltd,RBL,0-3000000,25-50,50-75
Dec 14 2022 05:30AM,A2Z Infra Engineering Ltd,A2ZINFRA,0-3000000,25-50,50-75
Dec 14 2022 05:30AM,Prakash Steelage Ltd,PRAKASHSTL,0-3000000,25-50,50-75
Dec 14 2022 05:30AM,Gyscoal Alloys Ltd,GAL,0-3000000,25-50,75-100
Dec 14 2022 05:30AM,Kotak Nifty PSU Bank ETF,KOTAKPSUBK,0-3000000,50-75,75-100
Dec 14 2022 05:30AM,Nippon India ETF Nifty PSU Bank BeES,PSUBNKBEES,8000000-12000000,50-75,75-100
Dec 14 2022 05:30AM,GNA Axles Ltd,GNA,0-3000000,0-25,50-75
Dec 14 2022 05:30AM,TD Power Systems Ltd,TDPOWERSYS,0-3000000,25-50,50-75
Dec 14 2022 05:30AM,Equitas Holdings Ltd,EQUITAS,3000000-8000000,25-50,75-100
Dec 14 2022 05:30AM,Cantabil Retail India Ltd,CANTABIL,0-3000000,0-25,25-50
Dec 14 2022 05:30AM,RPP Infra Projects Ltd,RPPINFRA,0-3000000,25-50,50-75
Dec 14 2022 05:30AM,Indiabulls Housing Finance Ltd,IBULHSGFIN,14000000-80000000,25-50,50-75
Dec 14 2022 05:30AM,Eros International Media Ltd,EROSMEDIA,0-3000000,0-25,25-50
Dec 14 2022 05:30AM,Madhya Bharat Agro Products Ltd,MBAPL,0-3000000,25-50,50-75
Dec 14 2022 05:30AM,Just Dial Ltd,JUSTDIAL,0-3000000,0-25,50-75
Dec 14 2022 05:30AM,Thejo Engineering Ltd,THEJO,0-3000000,0-25,50-75
Dec 14 2022 05:30AM,Genus Paper &amp; Boards Ltd,GENUSPAPER,0-3000000,25-50,25-50
Dec 14 2022 05:30AM,Equitas Small Finance Bank Ltd,EQUITASBNK,3000000-8000000,25-50,50-75
Dec 14 2022 05:30AM,IDFC First Bank Ltd,IDFCFIRSTB,14000000-80000000,25-50,50-75
Dec 14 2022 05:30AM,BKM Industries Ltd,BKMINDST,0-3000000,0-25,50-75
Dec 14 2022 05:30AM,Cartrade Tech Ltd,CARTRADE,0-3000000,0-25,25-50
Dec 14 2022 05:30AM,Balkrishna Paper Mills Ltd,BALKRISHNA,0-3000000,0-25,25-50
Dec 14 2022 05:30AM,Euro Panel Products Ltd,EUROBOND,0-3000000,25-50,50-75
Dec 14 2022 05:30AM,Ujjivan Small Finance Bank Ltd,UJJIVANSFB,14000000-80000000,50-75,75-100
Dec 14 2022 05:30AM,Creative Newtech Ltd,CREATIVE,0-3000000,25-50,75-100
Dec 14 2022 05:30AM,Praxis Home Retail Ltd,PRAXIS,0-3000000,25-50,50-75
Dec 14 2022 05:30AM,Worth Peripherals Ltd,WORTH,0-3000000,0-25,50-75
Dec 14 2022 05:30AM,Apollo Micro Systems Ltd,APOLLO,0-3000000,25-50,50-75
Dec 14 2022 05:30AM,H.G. Infra Engineering Ltd,HGINFRA,0-3000000,0-25,50-75
Dec 14 2022 05:30AM,Silly Monks Entertainment Ltd,SILLYMONKS,0-3000000,0-25,50-75
Dec 14 2022 05:30AM,Bharat 22 ETF,ICICIB22,0-3000000,25-50,50-75
Dec 14 2022 05:30AM,Arvee Laboratories (India) Ltd,ARVEE,0-3000000,25-50,50-75
Dec 14 2022 05:30AM,Arvind Fashions Ltd,ARVINDFASN,0-3000000,0-25,50-75
Dec 14 2022 05:30AM,Deep Industries Ltd,DEEPINDS,0-3000000,0-25,50-75
Dec 14 2022 05:30AM,Tata Nifty ETF,NETF,0-3000000,0-25,50-75
Dec 14 2022 05:30AM,ICICI Prudential Nifty Bank ETF,ICICIBANKN,0-3000000,25-50,25-50
Dec 14 2022 05:30AM,Max India Ltd,MAXIND,0-3000000,0-25,50-75
Dec 14 2022 05:30AM,Supriya Lifescience Ltd,SUPRIYA,0-3000000,25-50,25-50
Dec 14 2022 05:30AM,Fino Payments Bank Ltd,FINOPB,0-3000000,25-50,50-75
Dec 14 2022 05:30AM,Kotyark Industries Ltd,KOTYARK,0-3000000,25-50,25-50
