Jan 31 2023 05:30AM,Star Cement Ltd,STARCEMENT,0-3000000,0-25,25-50,see currentdate
Jan 31 2023 05:30AM,Indiabulls Real Estate Ltd,IBREALEST,3000000-8000000,25-50,25-50,see currentdate
Jan 31 2023 05:30AM,IRB Infrastructure Developers Ltd,IRB,0-3000000,0-25,25-50,see currentdate
Jan 31 2023 05:30AM,Meghmani Finechem Ltd,MFL,0-3000000,25-50,25-50,see currentdate
Jan 31 2023 05:30AM,Rolex Rings Ltd,ROLEXRINGS,0-3000000,0-25,25-50,see currentdate
Jan 31 2023 05:30AM,Kirloskar Oil Engines Ltd,KIRLOSENG,0-3000000,0-25,25-50,see currentdate
Jan 31 2023 05:30AM,Artemis Medicare Services Ltd,ARTEMISMED,0-3000000,0-25,25-50,see currentdate
Jan 31 2023 05:30AM,Thangamayil Jewellery Ltd,THANGAMAYL,0-3000000,25-50,25-50,see currentdate
Jan 31 2023 05:30AM,Den Networks Ltd,DEN,0-3000000,0-25,25-50,see currentdate
Jan 31 2023 05:30AM,Angel One Ltd,ANGELONE,0-3000000,25-50,25-50,see currentdate
Jan 31 2023 05:30AM,Indus Towers Ltd,INDUSTOWER,14000000-80000000,25-50,25-50,see currentdate
Jan 31 2023 05:30AM,Nippon India ETF Nifty Infrastructure BeES,INFRABEES,0-3000000,0-25,25-50,see currentdate
Jan 31 2023 05:30AM,Aditya Birla Capital Ltd,ABCAPITAL,0-3000000,0-25,25-50,see currentdate
Jan 31 2023 05:30AM,Dr Lal Pathlabs Ltd,LALPATHLAB,0-3000000,25-50,25-50,see currentdate
Jan 31 2023 05:30AM,Kalyan Jewellers India Ltd,KALYANKJIL,3000000-8000000,0-25,50-75,see currentdate
Jan 31 2023 05:30AM,Salasar Techno Engineering Ltd,SALASAR,0-3000000,0-25,25-50,see currentdate
Jan 31 2023 05:30AM,Creative Newtech Ltd,CREATIVE,0-3000000,0-25,25-50,see currentdate
Jan 31 2023 05:30AM,Capacite Infraprojects Ltd,CAPACITE,0-3000000,0-25,25-50,see currentdate
Jan 31 2023 05:30AM,Worth Peripherals Ltd,WORTH,0-3000000,0-25,25-50,see currentdate
Jan 31 2023 05:30AM,Hemisphere Properties India Ltd,HEMIPROP,0-3000000,0-25,25-50,see currentdate
Jan 31 2023 05:30AM,Arvind Fashions Ltd,ARVINDFASN,0-3000000,0-25,25-50,see currentdate
Jan 31 2023 05:30AM,Hitachi Energy India Ltd,POWERINDIA,0-3000000,0-25,25-50,see currentdate
