Oct 17 2023 05:30AM,Savita Oil Technologies Ltd,SOTL,0-3000000,0-25,50-75,Sep 21 2023 05:30AM,TrianglePatternWithHAPDCB
Oct 17 2023 05:30AM,Heritage Foods Ltd,HERITGFOOD,0-3000000,0-25,50-75,Sep 20 2023 05:30AM,SuperTrendSuperTrendEWMRsaTrendTrianglePatternWithHA
Oct 17 2023 05:30AM,Power Grid Corporation of India Ltd,POWERGRID,14000000-80000000,25-50,50-75,Sep 29 2023 05:30AM,TrianglePatternWithHA
Oct 17 2023 05:30AM,Ramky Infrastructure Ltd,RAMKY,0-3000000,25-50,50-75,Sep 26 2023 05:30AM,TrianglePatternWithHA
Oct 17 2023 05:30AM,Va Tech Wabag Ltd,WABAG,0-3000000,25-50,50-75,Sep 26 2023 05:30AM,SuperTrendSuperTrendEWMTrianglePatternWithHAPDCB
Oct 17 2023 05:30AM,CMS Info Systems Ltd,CMSINFO,0-3000000,0-25,50-75,Sep 11 2023 05:30AM,TrianglePatternWithHA
Oct 18 2023 05:30AM,Blue Star Ltd,BLUESTARCO,0-3000000,25-50,50-75,Sep 26 2023 05:30AM,TrianglePatternWithHA
Oct 18 2023 05:30AM,Godfrey Phillips India Ltd,GODFRYPHLP,0-3000000,0-25,50-75,Oct 12 2023 05:30AM,TrianglePatternWithHA
Oct 18 2023 05:30AM,Neuland Laboratories Ltd,NEULANDLAB,0-3000000,0-25,50-75,Oct 09 2023 05:30AM,TrianglePatternWithHAPDCB
Oct 18 2023 05:30AM,Tips Industries Ltd,TIPSINDLTD,0-3000000,0-25,50-75,Sep 04 2023 05:30AM,TrianglePatternWithHA
Oct 18 2023 05:30AM,PNB Housing Finance Ltd,PNBHOUSING,0-3000000,25-50,50-75,Sep 15 2023 05:30AM,TrianglePatternWithHA
Oct 18 2023 05:30AM,Inox Wind Ltd,INOXWIND,0-3000000,0-25,50-75,Oct 11 2023 05:30AM,TrianglePatternWithHA
Oct 19 2023 05:30AM,Igarashi Motors India Ltd,IGARASHI,0-3000000,25-50,50-75,Oct 11 2023 05:30AM,TrianglePatternWithHA
Oct 19 2023 05:30AM,JK Paper Ltd,JKPAPER,0-3000000,0-25,50-75,Sep 18 2023 05:30AM,TrianglePatternWithHA
Oct 19 2023 05:30AM,Atul Auto Ltd,ATULAUTO,0-3000000,25-50,50-75,Sep 29 2023 05:30AM,TrianglePatternWithHAPDCB
