ASIANHOTNR,Asian Hotels (North) Ltd,0MA200VS100,1,0,10000,9967.948717948719,-32.051282051281305
ASIANHOTNR,Asian Hotels (North) Ltd,1MA50VS20,3,0,30000,29857.894736842107,-142.1052631578932
ASIANHOTNR,Asian Hotels (North) Ltd,1MA100VS50,1,0,10000,10000.0,0.0
ASIANHOTNR,Asian Hotels (North) Ltd,2MA200VS100,2,0,20000,19933.09194866309,-66.90805133691174
ASIANHOTNR,Asian Hotels (North) Ltd,2MA50VS20,2,0,20000,19934.02968664101,-65.9703133589901
ASIANHOTNR,Asian Hotels (North) Ltd,2MA100VS50,1,0,10000,10000.0,0.0
ASIANPAINT,Asian Paints Ltd,0MA50VS20,2,0,20000,20053.634732041744,53.63473204174443
ASIANPAINT,Asian Paints Ltd,0MA100VS50,1,0,10000,10020.408814056571,20.408814056570918
ASIANPAINT,Asian Paints Ltd,0MA200VS100,1,0,10000,10000.0,0.0
ASIANPAINT,Asian Paints Ltd,1MA50VS20,2,0,20000,19983.42858027846,-16.571419721538405
ASIANPAINT,Asian Paints Ltd,1MA100VS50,1,0,10000,9991.531923052342,-8.468076947658119
ASIANPAINT,Asian Paints Ltd,2MA200VS100,2,0,20000,19951.461892553743,-48.53810744625662
ASIANPAINT,Asian Paints Ltd,2MA50VS20,3,0,30000,29618.41624635761,-381.58375364238964
ASIANPAINT,Asian Paints Ltd,2MA100VS50,1,0,10000,9865.047995482777,-134.95200451722303
SKFINDIA,SKF India Ltd,0MA100VS50,2,0,20000,19950.670947268558,-49.32905273144206
SKFINDIA,SKF India Ltd,0MA50VS20,2,0,20000,19894.146182367484,-105.85381763251644
SKFINDIA,SKF India Ltd,0MA200VS100,1,0,10000,9954.102122776821,-45.89787722317851
SKFINDIA,SKF India Ltd,1MA50VS20,3,0,30000,29946.982845616923,-53.01715438307656
SKFINDIA,SKF India Ltd,1MA100VS50,1,0,10000,9977.643171806169,-22.35682819383146
SKFINDIA,SKF India Ltd,2MA50VS20,2,0,20000,20027.761647944302,27.76164794430224
SKFINDIA,SKF India Ltd,2MA100VS50,1,0,10000,9958.763324866351,-41.23667513364853
SKFINDIA,SKF India Ltd,3MA200VS100,1,0,10000,9987.450496322583,-12.549503677417306
ASTRAZEN,Astrazeneca Pharma India Ltd,0MA50VS20,2,0,20000,19977.154685774458,-22.845314225542097
ASTRAZEN,Astrazeneca Pharma India Ltd,1MA200VS100,3,0,30000,30036.16850211539,36.168502115389856
ASTRAZEN,Astrazeneca Pharma India Ltd,1MA50VS20,1,0,10000,9967.179217880763,-32.820782119237265
ASTRAZEN,Astrazeneca Pharma India Ltd,1MA100VS50,1,0,10000,9983.548917776847,-16.451082223153207
ASTRAZEN,Astrazeneca Pharma India Ltd,2MA50VS20,3,0,30000,30000.86557940127,0.8655794012702245
ASTRAZEN,Astrazeneca Pharma India Ltd,2MA100VS50,2,0,20000,19954.682550508496,-45.317449491503794
ASTRAZEN,Astrazeneca Pharma India Ltd,2MA200VS100,1,0,10000,10009.912588988016,9.912588988016068
ASTRAZEN,Astrazeneca Pharma India Ltd,3MA200VS100,1,1,10000,10291.20105951494,291.2010595149404
ATUL,Atul Ltd,0MA50VS20,3,0,30000,30045.75816729761,45.75816729760845
ATUL,Atul Ltd,0MA100VS50,2,0,20000,19939.75753080099,-60.242469199009065
ATUL,Atul Ltd,0MA200VS100,1,0,10000,10027.019162821633,27.019162821632563
ATUL,Atul Ltd,1MA50VS20,3,0,30000,30089.0766842084,89.07668420840128
ATUL,Atul Ltd,1MA100VS50,2,0,20000,19977.772616140846,-22.227383859153633
ATUL,Atul Ltd,2MA50VS20,3,0,30000,29972.81622917608,-27.183770823921805
ATUL,Atul Ltd,3MA100VS50,1,0,10000,9971.291089965398,-28.708910034602013
BAJAJHLDNG,Bajaj Holdings &amp; Investment Ltd,0MA50VS20,3,0,30000,29896.79347150239,-103.20652849760882
