INDIANCARD,Indian Card Clothing Company Ltd,4422
IFBIND,IFB Industries Ltd,1485
INDHOTEL,Indian Hotels Co Ltd,1512
INDIANHUME,Indian Hume Pipe Company Ltd,1530
LINDEINDIA,Linde India Ltd,1627
SINGER,Singer India Ltd,505729
GILLETTE,Gillette India Ltd,1576
PANCARBON,Panasonic Carbon India Company Ltd,508941
CASTROLIND,Castrol India Ltd,1250
INGERRAND,Ingersoll,Rand (India) Ltd,1597
TATAINVEST,Tata Investment Corporation Ltd,1621
IONEXCHANG,Ion Exchange (India) Ltd,1630
TATASTLLP,Tata Steel Long Products Ltd,1639
ITC,ITC Ltd,1660
IVP,IVP Ltd,17659
JBCHEPHARM,J B Chemicals &amp; Pharmaceuticals Ltd,1726
JKTYRE,JK Tyre &amp; Industries Ltd,14435
JCT,JCT Ltd,500223
JAGAJITIND,Jagatjit Industries Ltd,507155
JAYSREETEA,Jay Shree Tea &amp; Industries Ltd,1720
KCP,K C P Ltd,1841
KSL,Kalyani Steels Ltd,18889
WHIRLPOOL,Whirlpool of India Ltd,18011
KESORAMIND,Kesoram Industries Ltd,1859
KINETICENG,Kinetic Engineering Ltd,500240
KIRLOSBROS,Kirloskar Brothers Ltd,18581
CUMMINSIND,Cummins India Ltd,1901
KOTARISUG,Kothari Sugars &amp; Chemicals Ltd,11647
KSB,KSB Ltd,1949
TRENT,Trent Ltd,1964
LAXMIMACH,Lakshmi Machine Works Ltd,1979
LAKPRE,Lakshmi Precision Screws Ltd,4774
LT,Larsen &amp; Toubro Ltd,2885
MANUGRAPH,Manugraph India Ltd,13572
RAMCOCEM,The Ramco Cements Ltd,2043
MAHSCOOTER,Maharashtra Scooters Ltd,2085
MANGLMCEM,Mangalam Cement Ltd,2106
MANGCHEFER,Mangalore Chemicals &amp; Fertilizers Ltd,15007
MFSL,Max Financial Services Ltd,2142
BOSCHLTD,Bosch Ltd,2181
MODIRUBBER,Modi Rubber Ltd,6934
PENINLAND,Peninsula Land Ltd,2256
MRF,MRF Ltd,2277
MUKANDLTD,Mukand Ltd,11325
HEIDELBERG,HeidelbergCement India Ltd,2316
NCLIND,NCL Industries Ltd,14490
NELCO,NELCO Ltd,2388
PEL,Piramal Enterprises Ltd,2412
NIRLON,Nirlon Ltd,500307
NOCIL,NOCIL Ltd,2442
ORIENTABRA,Orient Abrasives Ltd,13111
ORIENTPPR,Orient Paper &amp; Industries Ltd,2496
ORIENTHOT,Oriental Hotels Ltd,2493
OSWALAGRO,Oswal Agro Mills Ltd,2514
PFIZER,Pfizer Ltd,2643
PCBL,PCBL Ltd,2649
POLYCHEM,Polychem Ltd,506605
PRAKASH,Prakash Industries Ltd,11763
SURYAROSNI,Surya Roshni Ltd,3375
SCHAEFFLER,Schaeffler India Ltd,1011
PREMIER,Premier Ltd,17397
PRESSMN,Pressman Advertising Ltd,11671
HAWKINCOOK,Hawkins Cookers Ltd,508486
AMJLAND,AMJ Land Holdings Ltd,2598
PUNJABCHEM,Punjab Chemicals &amp; Crop Protection Ltd,4344
RALLIS,Rallis India Ltd,2816
RANEHOLDIN,Rane Holdings Ltd,2844
RAYMOND,Raymond Ltd,2859
RELIANCE,Reliance Industries Ltd,2885
REVATHI,Revathi Equipment Ltd,11961
PGHH,Procter &amp; Gamble Hygiene and Health Care Ltd,2535
SAURASHCEM,Saurashtra Cement Ltd,502175
VEDL,Vedanta Ltd,3063
SESHAPAPER,Seshasayee Paper &amp; Boards Ltd,3066
SHALPAINTS,Shalimar Paints Ltd,15342
SHREECEM,Shree Cement Ltd,3103
SHREDIGCEM,Shree Digvijay Cement Co. Ltd,3099
SRF,SRF Ltd,3273
SIEMENS,Siemens Ltd,3150
SIYSIL,Siyaram Silk Mills Ltd,14096
SOMANYCERA,Somany Ceramics Ltd,3880
SPIC,Southern Petrochemicals Industries Corporation Ltd,11446
TVSSRICHAK,TVS Srichakra Ltd,14245
SIL,Standard Industries Ltd,757
JKLAKSHMI,JK Lakshmi Cement Ltd,13491
SUNDRMBRAK,Sundaram Brake Linings Ltd,4179
SUNCLAYLTD,Sundaram Clayton Ltd,29008
SUNDRMFAST,Sundram Fasteners Ltd,3345
SUNDARMFIN,Sundaram Finance Ltd,3339
SUPREMEIND,Supreme Industries Ltd,3363
SMLISUZU,SML ISUZU Ltd,3387
TANFACIND,Tanfac Industries Ltd,506854
TALBROAUTO,Talbros Automotive Components Ltd,13648
TATACHEM,Tata Chemicals Ltd,3405
TATAPOWER,Tata Power Company Ltd,3426
TRF,TRF Ltd,2716
TATACONSUM,Tata Consumer Products Ltd,3432
TATAYODOGA,Tayo Rolls Ltd,504961
TATAMOTORS,Tata Motors Ltd,3456
TEXINFRA,Texmaco Infrastructure &amp; Holdings Ltd,11549
TIRUMALCHM,Thirumalai Chemicals Ltd,3496
THOMASCOOK,Thomas Cook (India) Ltd,3481
TINPLATE,Tinplate Company of India Ltd,3493
TATASTEEL,Tata Steel Ltd,3499
TIL,TIL Ltd,637
TRANSPEK,Transpek Industry Ltd,506687
CHOLAHLDNG,Cholamandalam Financial Holdings Ltd,21740
UNICHEMLAB,Unichem Laboratories Ltd,3579
EVEREADY,Eveready Industries India Ltd,11782
UNIVCABLES,Universal Cables Ltd,3607
JUBLPHARMA,Jubilant Pharmova Ltd,3637
VOLTAS,Voltas Ltd,3718
VSTIND,VST Industries Ltd,3724
WALCHANNAG,Walchandnagar Industries Ltd,3736
WARRENTEA,Warren Tea Ltd,508494
WENDT,Wendt India Ltd,4235
