ACC,TrianglePatternWithHA,18,2
BERGEPAINT,TrianglePatternWithHA,24,1
BHARATFORG,TrianglePatternWithHA,18,5
GRAPHITE,TrianglePatternWithHA,19,4
EXIDEIND,TrianglePatternWithHA,21,5
CIPLA,TrianglePatternWithHA,20,2
COROMANDEL,TrianglePatternWithHA,27,2
EIHOTEL,TrianglePatternWithHA,24,2
ELECON,TrianglePatternWithHA,24,8
FINCABLES,TrianglePatternWithHA,18,5
AGI,TrianglePatternWithHA,17,5
ZENSARTECH,TrianglePatternWithHA,21,5
INDIACEM,TrianglePatternWithHA,15,2
IFBIND,TrianglePatternWithHA,16,3
TRENT,TrianglePatternWithHA,22,1
MFSL,TrianglePatternWithHA,21,4
PEL,TrianglePatternWithHA,15,5
SURYAROSNI,TrianglePatternWithHA,16,4
RALLIS,TrianglePatternWithHA,14,1
RAYMOND,TrianglePatternWithHA,18,3
SRF,TrianglePatternWithHA,16,1
TATACHEM,TrianglePatternWithHA,15,4
TATAPOWER,TrianglePatternWithHA,14,1
TATAMOTORS,TrianglePatternWithHA,17,2
TIRUMALCHM,TrianglePatternWithHA,16,4
UNICHEMLAB,TrianglePatternWithHA,12,0
VOLTAS,TrianglePatternWithHA,16,2
VIPIND,TrianglePatternWithHA,13,1
VINDHYATEL,TrianglePatternWithHA,18,6
SUDARSCHEM,TrianglePatternWithHA,11,1
GMMPFAUDLR,TrianglePatternWithHA,13,3
MPHASIS,TrianglePatternWithHA,16,3
PRAJIND,TrianglePatternWithHA,15,1
AVANTIFEED,TrianglePatternWithHA,21,3
MAYURUNIQ,TrianglePatternWithHA,17,3
LICHSGFIN,TrianglePatternWithHA,13,2
HIKAL,TrianglePatternWithHA,11,0
KALPATPOWR,TrianglePatternWithHA,10,1
AUROPHARMA,TrianglePatternWithHA,22,7
NATCOPHARM,TrianglePatternWithHA,16,3
SANGHVIMOV,TrianglePatternWithHA,21,5
POONAWALLA,TrianglePatternWithHA,16,3
SHILPAMED,TrianglePatternWithHA,17,4
OIL,TrianglePatternWithHA,18,1
GICRE,TrianglePatternWithHA,17,4
CSBBANK,TrianglePatternWithHA,17,2
HCLTECH,TrianglePatternWithHA,24,3
JKPAPER,TrianglePatternWithHA,9,2
KTKBANK,TrianglePatternWithHA,22,4
RBLBANK,TrianglePatternWithHA,18,6
KRBL,TrianglePatternWithHA,13,3
ZYDUSWELL,TrianglePatternWithHA,20,0
CHOICEIN,TrianglePatternWithHA,21,2
TIPSINDLTD,TrianglePatternWithHA,20,7
NTPC,TrianglePatternWithHA,18,2
PFC,TrianglePatternWithHA,21,2
APLAPOLLO,TrianglePatternWithHA,17,1
